TckrSymb;FinInstrmNm;OpnPric;HghPric;LwPric;ClsPric;LastPric;TtlTradgVol;TtlTrfVal
ABB;ABB INDIA LIMITED;5070.3;5472.45;5070.3;5443.45;5443.45;13914;74573491
AEGISLOG;AEGIS LOGISTICS LTD.;770.75;802.2;770.75;797.05;797.05;71660;56291111
ARE&M;Amara Raja Energy & Mobility L;932.45;957.5;932.45;954.45;954.45;125475;118764043
AMBALALSA;AMBALAL SARABHAI ENTERPRISES L;34.89;35.4;34.21;35.2;35.25;80662;2799484
ANDHRAPET;ANDHRA PETROCHEMICALS LTD.;53.1;54.89;53.1;53.9;53.77;24540;1321267
ANSALAPI;ANSAL PROPERTIES & INFRASTRUCT;4.62;4.62;4.62;4.62;4.62;11293;52173
UTIQUE;UTIQUE ENTERPRISES LIMITED;4.21;4.48;4.21;4.3;4.3;72306;311018
ARUNAHTEL;ARUNA HOTELS LTD.;10.5;11.63;10.15;10.41;10.64;5475;56765
BOMDYEING;BOMBAY DYEING & MFG.CO.LTD.;125.75;127.6;122.5;127.1;127.45;32406;4053334
ASIANHOTNR;ASIAN HOTELS (NORTH) LIMITED;349;349;349;349;349;26;9074
ATUL;ATUL LTD.;6509.1;6797.9;6509.1;6781.1;6773.5;1787;12007267
ATVPR;ATV PROJECTS INDIA LTD.;29.7;32.84;29.7;30.14;30.25;18725;568792
BAJAJELEC;BAJAJ ELECTRICALS LTD.;526;536.95;522.4;531.2;533.05;2737;1447780
BAJAJHIND;BAJAJ HINDUSTHAN SUGAR LIMITED;17.97;19.35;17.97;19.07;19.07;1205606;22308636
FORCEMOT;FORCE MOTORS LTD.;9598.85;9798.5;9384.5;9729.4;9700;10867;104620637
BAJFINANCE;BAJAJ FINANCE LIMITED;8650;8779.8;8605.05;8640.2;8640.2;23143;200845185
BALRAMCHIN;BALRAMPUR CHINI MILLS LTD.;485.05;548.9;485.05;525.8;525.8;15849;8418220
BANCOINDIA;BANCO PRODUCTS (INDIA) LTD.;351;371.55;348.7;367.95;360.65;27579;9954792
ABREL;ADITYA BIRLA REAL ESTATE LIMIT;1801.05;1864.45;1801.05;1833.05;1850.9;3248;5930120
BANARISUG;BANNARI AMMAN SUGARS LTD.;3984;4106.7;3859.05;3922.95;3859.05;328;1307645
